study_name,comments,part_id,language,item,known
CogMisp24,NA,P23,en,butterfly,1
CogMisp24,NA,P23,en,chocolate,1
CogMisp24,NA,P23,en,cookie,1
CogMisp24,NA,P23,en,foot,1
CogMisp24,NA,P23,en,giraffe,1
CogMisp24,NA,P23,en,monkey,1
CogMisp24,NA,P23,en,mouth,1
CogMisp24,NA,P23,en,pizza,1
CogMisp24,NA,P23,en,table,1
CogMisp24,NA,P23,en,window,1
CogMisp24,NA,P23,fr,banane,1
CogMisp24,NA,P23,fr,bol,0
CogMisp24,NA,P23,fr,papillon,1
CogMisp24,NA,P23,fr,chocolat,1
CogMisp24,NA,P23,fr,biscuit,0
CogMisp24,NA,P23,fr,pied,0
CogMisp24,NA,P23,fr,girafe,1
CogMisp24,NA,P23,fr,singe,0
CogMisp24,NA,P23,fr,bouche,0
CogMisp24,NA,P23,fr,pizza,1
CogMisp24,NA,P23,fr,table,1
CogMisp24,NA,P23,fr,fenetre,0
CogMisp24,NA,P42,en,banana,1
CogMisp24,NA,P42,en,bowl,1
CogMisp24,NA,P42,en,butterfly,1
CogMisp24,NA,P42,en,chocolate,1
CogMisp24,NA,P42,en,cookie,1
CogMisp24,NA,P42,en,foot,1
CogMisp24,NA,P42,en,giraffe,1
CogMisp24,NA,P42,en,monkey,1
CogMisp24,NA,P42,en,mouth,1
CogMisp24,NA,P42,en,pizza,1
CogMisp24,NA,P42,en,table,1
CogMisp24,NA,P42,en,window,1
CogMisp24,NA,P42,fr,banane,1
CogMisp24,NA,P42,fr,bol,0
CogMisp24,NA,P42,fr,papillon,0
CogMisp24,NA,P42,fr,chocolat,0
CogMisp24,NA,P42,fr,biscuit,0
CogMisp24,NA,P42,fr,pied,0
CogMisp24,NA,P42,fr,girafe,0
CogMisp24,NA,P42,fr,singe,0
CogMisp24,NA,P42,fr,bouche,0
CogMisp24,NA,P42,fr,pizza,1
CogMisp24,NA,P42,fr,table,0
CogMisp24,NA,P42,fr,fenetre,0
CogMisp24,NA,P07,en,banana,1
CogMisp24,NA,P07,en,bowl,1
CogMisp24,NA,P07,en,butterfly,1
CogMisp24,NA,P07,en,chocolate,1
CogMisp24,NA,P07,en,cookie,1
CogMisp24,NA,P07,en,foot,1
CogMisp24,NA,P07,en,giraffe,1
CogMisp24,NA,P07,en,monkey,1
CogMisp24,NA,P07,en,mouth,1
CogMisp24,NA,P07,en,pizza,1
CogMisp24,NA,P07,en,table,1
CogMisp24,NA,P07,en,window,1
CogMisp24,NA,P07,fr,banane,1
CogMisp24,NA,P07,fr,bol,1
CogMisp24,NA,P07,fr,papillon,1
CogMisp24,NA,P07,fr,chocolat,1
CogMisp24,NA,P07,fr,biscuit,1
CogMisp24,NA,P07,fr,pied,1
CogMisp24,NA,P07,fr,girafe,1
CogMisp24,NA,P07,fr,singe,1
CogMisp24,NA,P07,fr,bouche,1
CogMisp24,NA,P07,fr,pizza,1
CogMisp24,NA,P07,fr,table,1
CogMisp24,NA,P07,fr,fenetre,1
CogMisp24,NA,P10,en,banana,1
CogMisp24,NA,P10,en,bowl,1
CogMisp24,NA,P10,en,butterfly,1
CogMisp24,NA,P10,en,chocolate,1
CogMisp24,NA,P10,en,cookie,1
CogMisp24,NA,P10,en,foot,1
CogMisp24,NA,P10,en,giraffe,1
CogMisp24,NA,P10,en,monkey,1
CogMisp24,NA,P10,en,mouth,1
CogMisp24,NA,P10,en,pizza,1
CogMisp24,NA,P10,en,table,1
CogMisp24,NA,P10,en,window,1
CogMisp24,NA,P10,fr,banane,1
CogMisp24,NA,P10,fr,bol,1
CogMisp24,NA,P10,fr,papillon,0
CogMisp24,NA,P10,fr,chocolat,1
CogMisp24,NA,P10,fr,biscuit,1
CogMisp24,NA,P10,fr,pied,1
CogMisp24,NA,P10,fr,girafe,1
CogMisp24,NA,P10,fr,singe,0
CogMisp24,NA,P10,fr,bouche,0
CogMisp24,NA,P10,fr,pizza,1
CogMisp24,NA,P10,fr,table,1
CogMisp24,NA,P10,fr,fenetre,0
CogMisp24,NA,P36,en,banana,1
CogMisp24,NA,P36,en,bowl,1
CogMisp24,NA,P36,en,butterfly,1
CogMisp24,NA,P36,en,chocolate,1
CogMisp24,NA,P36,en,cookie,1
CogMisp24,NA,P36,en,foot,1
CogMisp24,NA,P36,en,giraffe,1
CogMisp24,NA,P36,en,monkey,1
CogMisp24,NA,P36,en,mouth,1
CogMisp24,NA,P36,en,pizza,1
CogMisp24,NA,P36,en,table,1
CogMisp24,NA,P36,en,window,1
CogMisp24,NA,P36,fr,banane,1
CogMisp24,NA,P36,fr,bol,0
CogMisp24,NA,P36,fr,papillon,0
CogMisp24,NA,P36,fr,chocolat,0
CogMisp24,NA,P36,fr,biscuit,0
CogMisp24,NA,P36,fr,pied,0
CogMisp24,NA,P36,fr,girafe,0
CogMisp24,NA,P36,fr,singe,0
CogMisp24,NA,P36,fr,bouche,0
CogMisp24,NA,P36,fr,pizza,1
CogMisp24,NA,P36,fr,table,0
CogMisp24,NA,P36,fr,fenetre,0
CogMisp24,NA,P32,en,banana,1
CogMisp24,NA,P32,en,bowl,1
CogMisp24,NA,P32,en,butterfly,1
CogMisp24,NA,P32,en,chocolate,1
CogMisp24,NA,P32,en,cookie,1
CogMisp24,NA,P32,en,foot,1
CogMisp24,NA,P32,en,giraffe,1
CogMisp24,NA,P32,en,monkey,1
CogMisp24,NA,P32,en,mouth,1
CogMisp24,NA,P32,en,pizza,1
CogMisp24,NA,P32,en,table,1
CogMisp24,NA,P32,en,window,1
CogMisp24,NA,P32,fr,banane,1
CogMisp24,NA,P32,fr,bol,1
CogMisp24,NA,P32,fr,papillon,1
CogMisp24,NA,P32,fr,chocolat,1
CogMisp24,NA,P32,fr,biscuit,1
CogMisp24,NA,P32,fr,pied,1
CogMisp24,NA,P32,fr,girafe,1
CogMisp24,NA,P32,fr,singe,1
CogMisp24,NA,P32,fr,bouche,1
CogMisp24,NA,P32,fr,pizza,1
CogMisp24,NA,P32,fr,table,1
CogMisp24,NA,P32,fr,fenetre,1
CogMisp24,NA,P02,en,banana,1
CogMisp24,NA,P02,en,bowl,1
CogMisp24,NA,P02,en,butterfly,1
CogMisp24,NA,P02,en,chocolate,1
CogMisp24,NA,P02,en,cookie,1
CogMisp24,NA,P02,en,foot,1
CogMisp24,NA,P02,en,giraffe,1
CogMisp24,NA,P02,en,monkey,1
CogMisp24,NA,P02,en,mouth,1
CogMisp24,NA,P02,en,pizza,1
CogMisp24,NA,P02,en,table,1
CogMisp24,NA,P02,en,window,1
CogMisp24,NA,P02,fr,banane,1
CogMisp24,NA,P02,fr,bol,0
CogMisp24,NA,P02,fr,papillon,1
CogMisp24,NA,P02,fr,chocolat,1
CogMisp24,NA,P02,fr,biscuit,1
CogMisp24,NA,P02,fr,pied,1
CogMisp24,NA,P02,fr,girafe,1
CogMisp24,NA,P02,fr,singe,0
CogMisp24,NA,P02,fr,bouche,1
CogMisp24,NA,P02,fr,pizza,1
CogMisp24,NA,P02,fr,table,0
CogMisp24,NA,P02,fr,fenetre,0
CogMisp24,NA,P56,en,banana,1
CogMisp24,NA,P56,en,bowl,1
CogMisp24,NA,P56,en,butterfly,1
CogMisp24,NA,P56,en,chocolate,1
CogMisp24,NA,P56,en,cookie,1
CogMisp24,NA,P56,en,foot,1
CogMisp24,NA,P56,en,giraffe,1
CogMisp24,NA,P56,en,monkey,1
CogMisp24,NA,P56,en,mouth,1
CogMisp24,NA,P56,en,pizza,1
CogMisp24,NA,P56,en,table,1
CogMisp24,NA,P56,en,window,1
CogMisp24,NA,P56,fr,banane,1
CogMisp24,NA,P56,fr,bol,1
CogMisp24,NA,P56,fr,papillon,0
CogMisp24,NA,P56,fr,chocolat,1
CogMisp24,NA,P56,fr,biscuit,1
CogMisp24,NA,P56,fr,pied,1
CogMisp24,NA,P56,fr,girafe,1
CogMisp24,NA,P56,fr,singe,0
CogMisp24,NA,P56,fr,bouche,1
CogMisp24,NA,P56,fr,pizza,1
CogMisp24,NA,P56,fr,table,1
CogMisp24,NA,P56,fr,fenetre,0
CogMisp24,NA,P63,en,banana,1
CogMisp24,NA,P63,en,bowl,1
CogMisp24,NA,P63,en,butterfly,1
CogMisp24,NA,P63,en,chocolate,1
CogMisp24,NA,P63,en,cookie,1
CogMisp24,NA,P63,en,foot,1
CogMisp24,NA,P63,en,giraffe,1
CogMisp24,NA,P63,en,monkey,1
CogMisp24,NA,P63,en,mouth,1
CogMisp24,NA,P63,en,pizza,1
CogMisp24,NA,P63,en,table,1
CogMisp24,NA,P63,en,window,1
CogMisp24,NA,P63,fr,banane,1
CogMisp24,NA,P63,fr,bol,1
CogMisp24,NA,P63,fr,papillon,1
CogMisp24,NA,P63,fr,chocolat,1
CogMisp24,NA,P63,fr,biscuit,1
CogMisp24,NA,P63,fr,pied,1
CogMisp24,NA,P63,fr,girafe,1
CogMisp24,NA,P63,fr,singe,1
CogMisp24,NA,P63,fr,bouche,1
CogMisp24,NA,P63,fr,pizza,1
CogMisp24,NA,P63,fr,table,1
CogMisp24,NA,P63,fr,fenetre,1
CogMisp24,NA,P22,en,banana,1
CogMisp24,NA,P22,en,bowl,0
CogMisp24,NA,P22,en,butterfly,0
CogMisp24,NA,P22,en,chocolate,0
CogMisp24,NA,P22,en,cookie,0
CogMisp24,NA,P22,en,foot,0
CogMisp24,NA,P22,en,giraffe,0
